Lat;Long;Place
-8.562729969034306;115.27405529003904;Patung Bayi
-8.802024778047464;115.19424644583222;Pantai Gunung Payung
-8.743433827238357;115.17882442866751;Patung Satria Gatot Kaca
-8.673076241437695;115.26016441249875;Pantai Karang
-8.769452521310313;115.23269859305437;Nusa Dua Beach
-8.716272938162714;115.1744042133246;Tugu Peringatan Bom Bali
-8.701584489733156;115.16403404444337;Pantai Kuta Bali
-8.551201023052132;115.2833557;Bali Budaya Cultural Village
-8.670440842842034;115.23373038263887;Monumen Bajra Sandhi
-8.673008698533106;115.23747059358722;Taman Janggan Renon Denpasar
-8.669881534738092;115.23386996931418;Lapangan Puputan Renon
-8.670881119658771;115.23253068263887;Lapangan Niti Mandala Renon - Monumen Perjuangan Rakyat Bali
-8.654666900968815;115.23352812126733;Taman Werdhi Budaya Art Centre
-8.807453209043334;115.19012657291555;Pantai Pandawa
-8.585230275613746;115.08406042638782;Tanah Lot
-8.165552548324646;114.43445108280706;Gapura Gilimanuk Bali
-8.507949176216965;115.38268269513834;Desa Adat PAU
-8.110182378312869;115.05732171805445;Pantai Celuk Agung Anturan
-8.432386228233288;114.90726465347115;Pantai Yeh Leh
-8.358793739908377;114.63822847116427;Pura Jagatnatha Jembrana
-8.654546369264162;115.21644964509545;Patung Catur Muka
-8.402937847337943;114.76578239814995;Nista mandala pura luhur rambut siwi
-8.533622155482012;115.4034070440104;Monumen Puputan Klungkung
-8.810167394661656;115.12008873333235;Pantai Nunggalan
-8.784381827547843;115.21621910138774;Pura Geger Beach
-8.464817178778288;115.16374870000001;Taman Pujaan Bangsa Margarana
-8.613337665020335;115.09262291388796;Pantai Mengening
-8.21033353775669;114.97408000185006;Brahmavihara Arama
-8.655504490385825;115.23268859444987;Gedung Ksirarnawa
-8.655465676517341;115.21757058263887;Lapangan Puputan Badung (I Gusti Ngurah Made Agung)
-8.63349648175609;115.2450868652777;Museum Subak
-8.642547920460709;115.24716265733501;Museum Penanggulangan Terorisme Polda Bali
-8.573717006697184;115.26140888611056;Pura Dalem Desa Adat Negara Batuan
-8.653814175474624;115.12492743862846;Pantai Batu Mejan
-8.22907704827162;115.0495600652766;Air Terjun Umejero
-8.127401526232587;115.00522611666561;Pantai Lovina
-8.671420028728932;115.22532085807286;Museum Bung Karno
-8.812881560352304;115.1585408805545;Pantai Melasti Ungasan
-8.42219081271329;115.35979601534287;Desa Wisata Penglipuran
-8.473398654270119;115.01264134602863;Monumen Candi Perjuangan Desa Lumbung
-8.15583872407267;114.66232114417859;Batu Kursi View point
-8.237662873823316;114.96821245767146;Taman Bidadari Waterfall (Subak Pohasem)
-8.434659573938735;115.27924224417859;Rice Terrace
-8.177800257289421;114.78916782883572;WISATA PANTAI GEROKGAK
-8.174985762681903;114.89677954965222;Desa Adat Kalanganyar
-8.62441674462685;115.20080512866751;Bali Oka Monumen
-8.145883019182849;114.57784669173718;Birdwatching west Bali
-8.315438730688438;114.61152945767145;GREEN HILL BALI
-8.09825117959704;114.94536677083119;PANTAI KALIANGET
-8.489785835334121;114.94731964765626;Pantai Petangahan
-8.533655542065487;115.24492939444393;Pura Kahyangan Tiga Desa Adat Belang Kaler
-8.683653202809722;115.2142252197916;The Aryan's
-8.309909400501986;115.62157144232856;Batu Belah Temple
-8.648267166638561;115.2175225286675;Monumen I Gusti Ngurah Made Agung
-8.245450563682907;115.01878132883573;kubu hobbit pedawa
-8.548814002566372;115.30319069814993;Monumen Pahlawan Kapten Wayan Dipta
-8.495094070583031;115.13808635868001;Pura bale agung desa adat kubontingguh
-8.65806123246814;115.20998243068578;Patung Ida Cokorda Pemecutan IX
-8.126042026056862;115.04093168194333;Wisata Dolphin Lovina
